Name,Symbol,Industry Group,Industry
Garuda Cons,GARUDA,Construction,Civil Construction
Unified Data,,IT - Services,IT Enabled Services
OCCL,OCCLLTD,Chemicals & Petrochemicals,Commodity Chemicals
A.K.Capital Serv,AKCAPIT,Finance,Non Banking Financial Company (NBFC)
Emk.Global Fin.,EMKAY,Capital Markets,Stockbroking & Allied
NDTV,NDTV,Entertainment,TV Broadcasting & Software Production
BSL,BSL,Textiles & Apparels,Other Textile Products
Pashupati Cotsp.,PASHUPATI,Textiles & Apparels,Other Textile Products
Unifinz Capital,,Finance,Non Banking Financial Company (NBFC)
Global Vectra,GLOBALVECT,Transport Services,Airline
OSEL Devices,OSELDEVICE,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Kritika Wires,KRITIKA,Industrial Products,Iron & Steel Products
Vraj Iron,VRAJ,Ferrous Metals,Sponge Iron
Megastar Foods,MEGASTAR,Food Products,Other Food Products
Dynamic Services,DYNAMIC,Commercial Services & Supplies,Diversified Commercial Services
Sigma Advanced System,SIGMAADV,Aerospace & Defense,Aerospace & Defense
Subam Papers,,Industrial Products,Packaging
Man Infra,MANINFRA,Construction,Civil Construction
A-1,,Chemicals & Petrochemicals,Trading - Chemicals
Halder Venture,HALDER,Agricultural Food & other Products,Other Agricultural Products
C.E. Info System,MAPMYINDIA,IT - Software,Software Products
VISA Chrome,VISACHROME,Ferrous Metals,Ferro & Silica Manganese
Vadilal Enterp.,,Food Products,Dairy Products
Primo Chemicals,PRIMO,Chemicals & Petrochemicals,Commodity Chemicals
NGL Fine Chem,NGLFINE,Pharmaceuticals & Biotechnology,Pharmaceuticals
GRP,GRPLTD,Industrial Products,Rubber
Saraswati Saree,SSDL,Textiles & Apparels,Garments & Apparels
Tunwal E-Motors,TUNWAL,Automobiles,2/3 Wheelers
Prime Cable Ind.,PRIMECAB,Industrial Products,Cables - Electricals
Glottis,GLOTTIS,Transport Services,Logistics Solution Provider
MIRC Electronics,MIRCELECTR,Consumer Durables,Consumer Electronics
Modison,MODISONLTD,Electrical Equipment,Other Electrical Equipment
Borosil Scienti.,BOROSCI,Industrial Products,Glass - Industrial
Fabtech Techn.,,Industrial Manufacturing,Industrial Products
Zota Health Care,ZOTA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sharat Industrie,SHINDL,Food Products,Seafood
Amines & Plast.,AMNPLST,Chemicals & Petrochemicals,Commodity Chemicals
Signpost India,SIGNPOST,Media,Advertising & Media Agencies
Snowman Logistic,SNOWMAN,Transport Services,Logistics Solution Provider
Ent.Network,ENIL,Entertainment,Media & Entertainment
Rossell Techsys,ROSSTECH,Aerospace & Defense,Aerospace & Defense
Esconet,ESCONET,IT - Hardware,Computers Hardware & Equipments
I T D C,ITDC,Leisure Services,Hotels & Resorts
InfoBeans Tech.,INFOBEAN,IT - Software,Computers - Software & Consulting
Kriti Industries,KRITI,Industrial Products,Plastic Products - Industrial
Inspirisys Sol.,INSPIRISYS,IT - Services,IT Enabled Services
Diffusion Eng,DIFFNKG,Industrial Products,Other Industrial Products
Syschem (India),,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bharat Wire,BHARATWIRE,Industrial Products,Iron & Steel Products
One Global Serv,,Healthcare Services,Healthcare Service Provider
Dhunseri Tea,DTIL,Agricultural Food & other Products,Tea & Coffee
Sr.Rayala.Hypo,SRHHYPOLTD,Chemicals & Petrochemicals,Commodity Chemicals
Harri. Malayalam,HARRMALAYA,Industrial Products,Rubber
Ideaforge Tech,IDEAFORGE,Aerospace & Defense,Aerospace & Defense
Unitech,UNITECH,Realty,"Residential, Commercial Projects"
Premier Roadline,PRLIND,Transport Services,Logistics Solution Provider
Cheviot Company,CHEVIOT,"Paper, Forest & Jute Products",Jute & Jute Products
Integra Essentia,ESSENTIA,Commercial Services & Supplies,Trading & Distributors
Control Print,CONTROLPR,IT - Hardware,Computers Hardware & Equipments
Karbonsteel Eng.,,Construction,Civil Construction
Shemaroo Entert.,SHEMAROO,Entertainment,Media & Entertainment
Ecoline Exim,ECOLINE,Industrial Products,Packaging
Tinna Rubber,TINNARUBR,Industrial Products,Rubber
Haz.Multi Proj.,,Realty,"Residential, Commercial Projects"
Tiger Logistics,TIGERLOGS,Transport Services,Logistics Solution Provider
Parin Enterpris.,PARIN,Consumer Durables,"Furniture, Home Furnishing"
Finbud Financial,FINBUD,Financial Technology (Fintech),Financial Technology (Fintech)
Talbros Engg.,,Auto Components,Auto Components & Equipments
Omnitech Engg.,OMNI,Industrial Manufacturing,Industrial Products
Kaka Industries,,Industrial Products,Plastic Products - Industrial
PNGS Reva Diamo.,PNGSREVA,Consumer Durables,"Gems, Jewellery And Watches"
GHV Infra,,Construction,Civil Construction
Naga Dhunseri,NDGL,Finance,Non Banking Financial Company (NBFC)
FlySBS Aviation,FLYSBS,Transport Services,Airline
Zodiac Energy,ZODIAC,Construction,Civil Construction
ANB Metal,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products"
Fermenta Biotec.,FERMENTA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Pajson Agro,,Food Products,Other Food Products
Onward Technolog,ONWARDTEC,IT - Services,IT Enabled Services
TBI Corn,TBI,Agricultural Food & other Products,Other Agricultural Products
Intrasoft Tech.,ISFT,Retailing,E-Retail/ E-Commerce
Oriental Hotels,ORIENTHOT,Leisure Services,Hotels & Resorts
Brigade Hotel,BRIGHOTEL,Leisure Services,Hotels & Resorts
TajGVK Hotels,TAJGVK,Leisure Services,Hotels & Resorts
Hind.Organ.Chem.,,Chemicals & Petrochemicals,Commodity Chemicals
Accelya Solution,ACCELYA,IT - Software,Computers - Software & Consulting
Wonderla Holiday,WONDERLA,Leisure Services,Amusement Parks/ Other Recreation
Yash Highvoltage,,Electrical Equipment,Other Electrical Equipment
Ludlow Jute,,"Paper, Forest & Jute Products",Jute & Jute Products
Blue Water,BLUEWATER,Transport Services,Logistics Solution Provider
ASM Technologies,,IT - Software,Computers - Software & Consulting
Shanthi Gears,SHANTIGEAR,Industrial Manufacturing,Industrial Products
Pokarna,POKARNA,Consumer Durables,Granites & Marbles
Sula Vineyards,SULA,Beverages,Breweries & Distilleries
Niraj Cement,NIRAJ,Construction,Civil Construction
XPRO India,XPROINDIA,Industrial Products,Packaging
Sirca Paints,SIRCA,Consumer Durables,Paints
Tatva Chintan,TATVA,Chemicals & Petrochemicals,Specialty Chemicals
Indo Farm Equip.,INDOFARM,"Agricultural, Commercial & Construction Vehicles",Tractors
Giriraj Civil,GIRIRAJ,Construction,Civil Construction
AVG Logistics,AVG,Transport Services,Logistics Solution Provider
63 Moons Tech.,63MOONS,IT - Software,Computers - Software & Consulting
Zelio E-Mobility,,Automobiles,2/3 Wheelers
Sheetal Cool,SCPL,Food Products,Dairy Products
UFO Moviez,UFO,Entertainment,"Film Production, Distribution & Exhibition"
Ambani Orgochem,AMBANIORGO,Chemicals & Petrochemicals,Specialty Chemicals
Nikhil Adhesives,,Chemicals & Petrochemicals,Specialty Chemicals
Ravindra Energy,RELTD,Electrical Equipment,Other Electrical Equipment
Sharp Chucks and,SCML,Industrial Products,Castings & Forgings
Transworld Shipp,TRANSWORLD,Transport Services,Shipping
Cupid,CUPID,Personal Products,Personal Care
Platinum Industr,PLATIND,Chemicals & Petrochemicals,Specialty Chemicals
Shivam Chemicals,,Food Products,Animal Feed
Ruchira Papers,RUCHIRA,"Paper, Forest & Jute Products",Paper & Paper Products
Veefin Solutions,,IT - Services,IT Enabled Services
Shalimar Paints,SHALPAINTS,Consumer Durables,Paints
Mallcom (India),MALLCOM,Industrial Products,Other Industrial Products
Race Eco,RACE,Other Utilities,Waste Management
Deccan Cements,DECCANCE,Cement & Cement Products,Cement & Cement Products
RACL Geartech,RACLGEAR,Auto Components,Auto Components & Equipments
CARE Ratings,CARERATING,Capital Markets,Ratings
P S Raj Steels,PSRAJ,Industrial Products,Iron & Steel Products
N R Vandana,NRVANDANA,Textiles & Apparels,Garments & Apparels
Remsons Ind,REMSONSIND,Auto Components,Auto Components & Equipments
Repro India,REPRO,Printing & Publication,Printing & Publication
Adit.Birla Money,BIRLAMONEY,Capital Markets,Stockbroking & Allied
Vivid Electromech,VIVIDEL,Electrical Equipment,Other Electrical Equipment
EIH Assoc.Hotels,EIHAHOTELS,Leisure Services,Hotels & Resorts
Rapid Fleet,RAPIDFLEET,Transport Services,Logistics Solution Provider
Shraddha Prime,,Realty,"Residential, Commercial Projects"
Concord Control,,Industrial Manufacturing,Industrial Products
Midwest,MIDWESTLTD,Consumer Durables,Granites & Marbles
Euro Panel,EUROBOND,Industrial Products,"Aluminium, Copper & Zinc Products"
Keltech Energies,,Chemicals & Petrochemicals,Explosives
Highway Infra,HILINFRA,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
OnMobile Global,ONMOBILE,Media,Web based media and service
Lotus Chocolate,,Food Products,Packaged Foods
Anand Rayons,,Textiles & Apparels,Trading - Textile Products
GPT Healthcare,GPTHEALTH,Healthcare Services,Hospital
Sakthi Sugars,SAKHTISUG,Agricultural Food & other Products,Sugar
Captain Polyplas,,Industrial Products,Plastic Products - Industrial
Suryalata Spg.,SURYALA,Textiles & Apparels,Other Textile Products
Dolat Algotech,DOLATALGO,Capital Markets,Stockbroking & Allied
Aeroflex,AEROFLEX,Industrial Products,Iron & Steel Products
Machino Plastics,,Auto Components,Auto Components & Equipments
Batliboi,BATLIBOI,Industrial Manufacturing,Industrial Products
Linc,LINC,Household Products,Stationary
Spectrum Electr.,SPECTRUM,Industrial Manufacturing,Industrial Products
Bajaj Steel Inds,BAJAJST,Industrial Manufacturing,Industrial Products
Capital India,CIFL,Finance,Non Banking Financial Company (NBFC)
Alacrity Sec.,,Finance,Other Financial Services
Ambar Protein,,Agricultural Food & other Products,Edible Oil
Marathon Nextgen,MARATHON,Realty,"Residential, Commercial Projects"
Concord Enviro,CEWATER,Other Utilities,Waste Management
T N Petro Prod.,TNPETRO,Chemicals & Petrochemicals,Petrochemicals
Vaswani Industri,VASWANI,Ferrous Metals,Sponge Iron
Advance Agrolife,ADVANCE,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Aurum Proptech,AURUM,IT - Services,IT Enabled Services
La Tim Metal & I,,Metals & Minerals Trading,Trading - Metals
SBEC Sugar,,Agricultural Food & other Products,Sugar
Basant Agro Tech,,Fertilizers & Agrochemicals,Fertilizers
Vidhi Specialty,VIDHIING,Chemicals & Petrochemicals,Specialty Chemicals
Owais Metal,OWAIS,Ferrous Metals,Ferro & Silica Manganese
Century Extrus.,CENTEXT,Industrial Products,"Aluminium, Copper & Zinc Products"
Rubfila Intl.,RUBFILA,Industrial Products,Rubber
GP Eco Solutions,GPECO,Electrical Equipment,Other Electrical Equipment
Shiva Cement,,Cement & Cement Products,Cement & Cement Products
Atmastco Ltd,ATMASTCO,Construction,Civil Construction
HCP Plastene,,Industrial Products,Packaging
JD Cables,,Industrial Products,Cables - Electricals
DCX Systems,DCXINDIA,Aerospace & Defense,Aerospace & Defense
Asahi Songwon,ASAHISONG,Chemicals & Petrochemicals,Dyes And Pigments
Sylvan Plyboard,SYLVANPLY,Consumer Durables,Plywood Boards/ Laminates
Committed Cargo,COMMITTED,Transport Services,Logistics Solution Provider
Dr Agarwal's Eye,DRAGARWQ,Healthcare Services,Hospital
Vinsys IT Serv.,VINSYS,Other Consumer Services,Education
Sindhu Trade,SINDHUTRAD,Transport Services,Logistics Solution Provider
Om Freight Forwa,OMFREIGHT,Transport Services,Logistics Solution Provider
PTC India Fin,PFS,Finance,Non Banking Financial Company (NBFC)
Synergy Green,SGIL,Industrial Products,Castings & Forgings
Dhariwalcorp,DHARIWAL,Chemicals & Petrochemicals,Trading - Chemicals
Digicontent,DGCONTENT,Media,Advertising & Media Agencies
Mirza Internatio,MIRZAINT,Consumer Durables,Leather And Leather Products
Viviana Power,VIVIANA,Construction,Civil Construction
S D Retail,SDREAMS,Textiles & Apparels,Garments & Apparels
CL Educate,CLEDUCATE,Other Consumer Services,Education
Parth Electrical,PARTH,Electrical Equipment,Other Electrical Equipment
Sigachi Indust.,SIGACHI,Pharmaceuticals & Biotechnology,Pharmaceuticals
Fairchem Organic,FAIRCHEMOR,Chemicals & Petrochemicals,Specialty Chemicals
Solarium Green,,Construction,Civil Construction
Matrimony.com,MATRIMONY,Retailing,Internet & Catalogue Retail
Veranda Learning,VERANDA,Other Consumer Services,E-Learning
Nath Industries,,"Paper, Forest & Jute Products",Paper & Paper Products
Wardwizard Foods,,Food Products,Other Food Products
Axis Solution,,IT - Software,Computers - Software & Consulting
Speciality Rest.,SPECIALITY,Leisure Services,Restaurants
Durlax Top,DURLAX,Consumer Durables,"Furniture, Home Furnishing"
DCM Shriram Intl,DCMSIL,Textiles & Apparels,Other Textile Products
Jai Corp,JAICORPLTD,Industrial Products,Plastic Products - Industrial
Apex Ecotech,APEXECO,Other Utilities,Water Supply & Management
Advent Hotels,ADVENTHTL,Leisure Services,Hotels & Resorts
Syncom Formul.,SYNCOMF,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sejal Glass,SEJALLTD,Industrial Products,Glass - Industrial
Sahana Systems,SAHANA,IT - Services,IT Enabled Services
Aspinwall & Co,ASPINWALL,Transport Services,Logistics Solution Provider
TVS Elec.,TVSELECT,IT - Hardware,Computers Hardware & Equipments
Pritika Auto,PRITIKAUTO,Auto Components,Auto Components & Equipments
B-Right Real,,Realty,"Residential, Commercial Projects"
Royal Orch.Hotel,ROHLTD,Leisure Services,Hotels & Resorts
R&B Denims,RNBDENIMS,Textiles & Apparels,Other Textile Products
GEE,,Electrical Equipment,Other Electrical Equipment
Yuken India,YUKEN,Industrial Products,"Compressors, Pumps & Diesel Engines"
Emmbi Industries,EMMBI,Industrial Products,Packaging
M.V.K. Agro,MVKAGRO,Agricultural Food & other Products,Sugar
Chemkart India,,Food Products,Other Food Products
Duroply Indust.,,Consumer Durables,Plywood Boards/ Laminates
Diensten Tech,DTL,Commercial Services & Supplies,Diversified Commercial Services
Goyal Salt,GOYALSALT,Food Products,Other Food Products
Likhitha Infra.,LIKHITHA,Construction,Civil Construction
TPL Plastech,TPLPLASTEH,Industrial Products,Packaging
Aptech,APTECHT,Other Consumer Services,Education
Asian Hotels (W),AHLWEST,Leisure Services,Hotels & Resorts
Gem Aromatics,GEMAROMA,Chemicals & Petrochemicals,Specialty Chemicals
Kabra Extrusion,KABRAEXTRU,Industrial Manufacturing,Industrial Products
Kamat Hotels,KAMATHOTEL,Leisure Services,Hotels & Resorts
Texmo Pipes,TEXMOPIPES,Industrial Products,Plastic Products - Industrial
Stallion India,STALLION,Chemicals & Petrochemicals,Industrial Gases
Purple United,PURPLEUTED,Textiles & Apparels,Garments & Apparels
SK Minerals & Additives,,Chemicals & Petrochemicals,Specialty Chemicals
Sunshield Chem.,,Chemicals & Petrochemicals,Specialty Chemicals
Apis India,,Food Products,Other Food Products
Maiden Forgings,,Industrial Products,Iron & Steel Products
Geekay Wires,GEEKAYWIRE,Industrial Products,Iron & Steel Products
Vimta Labs,VIMTALABS,Healthcare Services,"Healthcare Research, Analytics & Technology"
Visaman Global,VISAMAN,Industrial Products,Iron & Steel Products
A2Z Infra Engg.,A2ZINFRA,Construction,Civil Construction
Him Teknoforg.,,Auto Components,Auto Components & Equipments
Indogulf Cropsci,IGCL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Shigan Quantum,SHIGAN,Auto Components,Auto Components & Equipments
Haldyn Glass,HALDYNGL,Industrial Products,Packaging
Jainam Ferro,JAINAM,Ferrous Metals,Ferro & Silica Manganese
Pavna Industries,PAVNAIND,Auto Components,Auto Components & Equipments
Tarsons Products,TARSONS,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Bombay Super Hyb,BSHSL,Agricultural Food & other Products,Other Agricultural Products
Forge Auto,FORGEAUTO,Auto Components,Auto Components & Equipments
Global Ocean,,Transport Services,Logistics Solution Provider
Namo eWaste,NAMOEWASTE,Other Utilities,Waste Management
DigiSpice Tech.,DIGISPICE,IT - Services,IT Enabled Services
Indo National,NIPPOBATRY,Household Products,Household Products
Mahindra EPC,MAHEPC,Industrial Manufacturing,Industrial Products
Indian Terrain,INDTERRAIN,Textiles & Apparels,Garments & Apparels
Safe Enterprises,SAFEENTP,Consumer Durables,"Furniture, Home Furnishing"
KM Sugar Mills,KMSUGAR,Agricultural Food & other Products,Sugar
Prizor Viztech,PRIZOR,Industrial Manufacturing,Industrial Products
NDR INVIT Trust,NDRINVIT,Commercial Services & Supplies,Diversified Commercial Services
AksharChem (I),AKSHARCHEM,Chemicals & Petrochemicals,Dyes And Pigments
De Neers Tools,DENEERS,Industrial Products,Iron & Steel Products
Sat Kartar,SATKARTAR,Pharmaceuticals & Biotechnology,Pharmaceuticals
SG Finserve,SGFIN,Finance,Non Banking Financial Company (NBFC)
Loyal Textile,LOYALTEX,Textiles & Apparels,Other Textile Products
Ganesh Benzopl.,GANESHBE,Oil,Oil Storage & Transportation
Zim Laboratories,ZIMLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
Basilic Fly Stud,BASILIC,Entertainment,Media & Entertainment
Hind.Composites,HINDCOMPOS,Auto Components,Auto Components & Equipments
Nilachal Carbo,,Ferrous Metals,Ferro & Silica Manganese
CFF Fluid,,Aerospace & Defense,Aerospace & Defense
SBC Exports,SBC,Textiles & Apparels,Garments & Apparels
Black Rose Indus,BLACKROSE,Chemicals & Petrochemicals,Specialty Chemicals
Tips Music,TIPSMUSIC,Entertainment,Media & Entertainment
Mindteck (India),MINDTECK,IT - Software,Computers - Software & Consulting
Stanley Lifesty.,STANLEY,Consumer Durables,"Furniture, Home Furnishing"
Anzen IYEP Trust,ANZEN,Power,Power - Transmission
Canara Robeco,CRAMC,Capital Markets,Asset Management Company
Gillanders Arbut,GILLANDERS,Agricultural Food & other Products,Tea & Coffee
C C C L,CCCL,Realty,"Residential, Commercial Projects"
Aeron Composites,AERON,Industrial Products,Other Industrial Products
Super Sales Ind.,,Textiles & Apparels,Other Textile Products
Radiant Cash,RADIANTCMS,Commercial Services & Supplies,Diversified Commercial Services
Sarla Performanc,SARLAPOLY,Textiles & Apparels,Other Textile Products
Arih.Found.Hsg.,ARIHANT,Realty,"Residential, Commercial Projects"
Macfos,,Retailing,E-Retail/ E-Commerce
Krishival Foods,KRISHIVAL,Food Products,Other Food Products
Antelopus Selan,ANTELOPUS,Oil,Oil Exploration & Production
Magnum Ventures,MAGNUM,"Paper, Forest & Jute Products",Paper & Paper Products
Waterbase,WATERBASE,Food Products,Seafood
Globe Civil,GLOBECIVIL,Construction,Civil Construction
Chembond Chemic.,CHEMBONDCH,Chemicals & Petrochemicals,Specialty Chemicals
S I Paper Mills,,"Paper, Forest & Jute Products",Paper & Paper Products
Canarys Automa.,CANARYS,IT - Software,Computers - Software & Consulting
Fischer Medical,FISCHER,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Sh. Jagdamba Pol,,Industrial Products,Packaging
Kore Digital,KDL,Telecom - Services,Telecom - Infrastructure
R K Swamy,RKSWAMY,Media,Advertising & Media Agencies
Borana Weaves,BORANA,Textiles & Apparels,Other Textile Products
Amba Enterprises,,Electrical Equipment,Other Electrical Equipment
Silver Touch,SILVERTUC,IT - Software,Computers - Software & Consulting
Beezaasan Exp.,,Chemicals & Petrochemicals,Explosives
Poddar Pigments,PODDARMENT,Chemicals & Petrochemicals,Dyes And Pigments
Hester Bios,HESTERBIO,Pharmaceuticals & Biotechnology,Pharmaceuticals
Elgi Rubber Co,ELGIRUBCO,Industrial Products,Rubber
Exhicon Events,,Other Consumer Services,Other Consumer Services
SMR Jewels,,,
VTM,,Textiles & Apparels,Other Textile Products
Exxaro Tiles,EXXARO,Consumer Durables,Ceramics
Lahoti Overseas,LAHOTIOV,Commercial Services & Supplies,Trading & Distributors
Monarch Networth,MONARCH,Capital Markets,Stockbroking & Allied
Monarch Surve.,,Commercial Services & Supplies,Consulting Services
NIIT,NIITLTD,Other Consumer Services,Education
Bharat Parenter.,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Smartlink Hold.,SMARTLINK,IT - Hardware,Computers Hardware & Equipments
Gravity (India),,Textiles & Apparels,Other Textile Products
S Chand & Compan,SCHAND,Printing & Publication,Printing & Publication
Bambino Agro Ind,,Food Products,Packaged Foods
Anya Polytech &,ANYA,Fertilizers & Agrochemicals,Fertilizers
Kabra Jewels,KKJEWELS,Consumer Durables,"Gems, Jewellery And Watches"
Panchmahal Steel,,Industrial Products,Iron & Steel Products
Emerald Tyre,ETML,Auto Components,Tyres & Rubber Products
Steelcast,STEELCAS,Industrial Products,Castings & Forgings
Intl. Conveyors,INTLCONV,Industrial Manufacturing,Industrial Products
Vikas Lifecare,VIKASLIFE,Commercial Services & Supplies,Trading & Distributors
Commerl. Synbags,COMSYN,Industrial Products,Packaging
Pakka,PAKKA,"Paper, Forest & Jute Products",Paper & Paper Products
Active Clothing,,Textiles & Apparels,Garments & Apparels
Aarey Drugs,AAREYDRUGS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kanishk Steel,,Industrial Products,Iron & Steel Products
Shree Karni,SHREEKARNI,Textiles & Apparels,Other Textile Products
Shivam Autotech,SHIVAMAUTO,Auto Components,Auto Components & Equipments
Shubhshree Bio.,SHUBHSHREE,Industrial Products,Other Industrial Products
DSM Fresh,,Food Products,Meat Products including Poultry
E2E Networks,E2E,IT - Services,IT Enabled Services
GLEN Industries,,Industrial Products,Packaging
Hindusthan Insulators &,,Electrical Equipment,Other Electrical Equipment
Urban Enviro,URBAN,Other Utilities,Waste Management
Patil Automation,PATILAUTOM,Industrial Manufacturing,Industrial Products
D P Wires,DPWIRES,Industrial Products,Iron & Steel Products
Mach Conferences,,Other Consumer Services,Other Consumer Services
Haleos Labs Limited,HALEOSLABS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Gala Precis. Eng,GALAPREC,Industrial Manufacturing,Industrial Products
Panache Digilife,PANACHE,IT - Services,IT Enabled Services
Ducon Tech,DUCON,Industrial Manufacturing,Industrial Products
Veto Switchgears,VETO,Consumer Durables,Consumer Electronics
K. V. Toys India,,Consumer Durables,Leisure Products
Beta Drugs Ltd,BETA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Lords Chloro,LORDSCHLO,Chemicals & Petrochemicals,Commodity Chemicals
Shree Tirupati,TIRUPATI,Industrial Products,Plastic Products - Industrial
Euro Pratik Sale,EUROPRATIK,Consumer Durables,"Furniture, Home Furnishing"
Manba Finance,MANBA,Finance,Non Banking Financial Company (NBFC)
Orient Ceratech,ORIENTCER,Industrial Products,Electrodes & Refractories
Tolins Tyres,TOLINS,Auto Components,Tyres & Rubber Products
Exim Routes,EXIMROUTES,"Paper, Forest & Jute Products",Paper & Paper Products
Sical Logistics,SICALLOG,Transport Services,Logistics Solution Provider
DCM Shriram Fine Chemicals,DSFCL,Chemicals & Petrochemicals,Specialty Chemicals
Walchan. Inds.,WALCHANNAG,Industrial Manufacturing,Industrial Products
Jyoti Resins,,Chemicals & Petrochemicals,Specialty Chemicals
Laxmi India Fin.,LAXMIINDIA,Finance,Non Banking Financial Company (NBFC)
Brahmaputra Inf.,,Construction,Civil Construction
Krishca Strapp.,KRISHCA,Industrial Products,Iron & Steel Products
M P K Steels,,Industrial Products,Iron & Steel Products
XT Global Infot.,XTGLOBAL,IT - Software,Computers - Software & Consulting
Kalyani Cast-Tec,,Industrial Manufacturing,Industrial Products
Marsons,MARSONS,Electrical Equipment,Other Electrical Equipment
Valiant Laborato,VALIANTLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
Tirupati Starch,,Food Products,Other Food Products
Imagica. Enter.,IMAGICAA,Leisure Services,Amusement Parks/ Other Recreation
Star Paper Mills,STARPAPER,"Paper, Forest & Jute Products",Paper & Paper Products
Bright Brothers,,Industrial Products,Plastic Products - Industrial
Aban Offshore,ABAN,Oil,Offshore Support Solution Drilling
Ganesh Housing,GANESHHOU,Realty,"Residential, Commercial Projects"
Ashapuri Gold,,Consumer Durables,"Gems, Jewellery And Watches"
Asian Hotels (N),ASIANHOTNR,Leisure Services,Hotels & Resorts
Pradeep Metals,PRADPME,Auto Components,Auto Components & Equipments
Disa India,DISAQ,Industrial Manufacturing,Industrial Products
Dynemic Products,DYNPRO,Chemicals & Petrochemicals,Specialty Chemicals
Divgi Torq,DIVGIITTS,Auto Components,Auto Components & Equipments
Novartis India,NOVARTIND,Pharmaceuticals & Biotechnology,Pharmaceuticals
Shankar Lal Ram.,SRD,Chemicals & Petrochemicals,Trading - Chemicals
Airfloa Rail,,Industrial Manufacturing,Industrial Products
Bright Outdoor,,Media,Advertising & Media Agencies
Praveg,PRAVEG,Leisure Services,Hotels & Resorts
LKP Finance,,Finance,Other Financial Services
Brand Concepts,BCONCEPTS,Retailing,Speciality Retail
Yaap Digital,YAAP,Media,Advertising & Media Agencies
Themis Medicare,THEMISMED,Pharmaceuticals & Biotechnology,Pharmaceuticals
Ginni Filaments,GINNIFILA,Textiles & Apparels,Other Textile Products
Knowledge Marine,KMEW,Engineering Services,Dredging
Sharvaya Metals,,Industrial Products,"Aluminium, Copper & Zinc Products"
Bella Casa Fashi,BELLACASA,Textiles & Apparels,Garments & Apparels
Kilitch Drugs,KILITCH,Pharmaceuticals & Biotechnology,Pharmaceuticals
M K Proteins,MKPL,Agricultural Food & other Products,Edible Oil
Tara Chand Infra,TARACHAND,Commercial Services & Supplies,Diversified Commercial Services
Ponni Sug.Erode,PONNIERODE,Agricultural Food & other Products,Sugar
Cubex Tubings,CUBEXTUB,Industrial Products,"Aluminium, Copper & Zinc Products"
SAL Automotive,,Auto Components,Auto Components & Equipments
Lakshya Powertec,LAKSHYA,Construction,Civil Construction
National Plastic,,Industrial Products,Plastic Products - Industrial
MSTC,MSTCLTD,Commercial Services & Supplies,Trading & Distributors
AGI Infra,AGIIL,Realty,"Residential, Commercial Projects"
Hind.Tin Works,,Industrial Products,Packaging
Bal Pharma,BALPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Modern Dairies,,Food Products,Dairy Products
Bihar Sponge,,Ferrous Metals,Sponge Iron
Menon Bearings,MENONBE,Auto Components,Auto Components & Equipments
Sai Parenteral's,SAIPARENT,Pharmaceuticals & Biotechnology,Pharmaceuticals
Mitsu Chem Plast,,Industrial Products,Packaging
Macpower CNC,MACPOWER,Industrial Manufacturing,Industrial Products
Richa Info,RICHA,IT - Hardware,Computers Hardware & Equipments
Albert David,ALBERTDAVD,Pharmaceuticals & Biotechnology,Pharmaceuticals
National Perox.,,Chemicals & Petrochemicals,Commodity Chemicals
5paisa Capital,5PAISA,Capital Markets,Stockbroking & Allied
IP Rings,,Auto Components,Auto Components & Equipments
Phantom Digital,PHANTOMFX,Entertainment,Media & Entertainment
Kesar India,,Realty,"Residential, Commercial Projects"
Balaji Phos.,BALAJIPHOS,Fertilizers & Agrochemicals,Fertilizers
La Opala RG,LAOPALA,Consumer Durables,Glass - Consumer
True Green,,Textiles & Apparels,Other Textile Products
Sundaram Brake,SUNDRMBRAK,Auto Components,Auto Components & Equipments
Akar Auto Indust,,Auto Components,Auto Components & Equipments
Infinium Pharma,INFINIUM,Pharmaceuticals & Biotechnology,Pharmaceuticals
Womancart,WOMANCART,Retailing,E-Retail/ E-Commerce
Ushanti Colour,UCL,Chemicals & Petrochemicals,Dyes And Pigments
Forcas Studio,FORCAS,Textiles & Apparels,Garments & Apparels
Innovators,,Industrial Manufacturing,Industrial Products
Khadim India,KHADIM,Consumer Durables,Footwear
Vardhman Acrylic,VARDHACRLC,Textiles & Apparels,Other Textile Products
Connplex Cinemas,CONNPLEX,Entertainment,"Film Production, Distribution & Exhibition"
Tuticorin Alkali,,Chemicals & Petrochemicals,Commodity Chemicals
